客户ID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,Segment
12438,39,13,1961.12,2,3,2,一般
12439,9,15,1607.1799999999998,4,4,1,发展
12440,3,12,1683.91,4,3,2,发展
12441,2,5,1236.98,4,1,1,一般
12442,105,12,6208.43,1,3,3,保持
12443,29,12,11415.11,2,3,3,保持
12444,12,12,3800.91,3,3,3,高价值
12445,64,14,14644.039999999999,1,4,4,保持
12446,43,9,2425.8,2,2,2,挽留
12447,62,7,60864.85,1,1,4,一般
12448,18,10,2842.22,3,2,2,发展
12449,40,13,1128.97,2,3,1,一般
12450,1,15,30145.08,4,4,4,高价值
12451,28,12,31379.68,2,3,4,保持
12452,44,8,577.45,2,1,1,挽留
12453,95,11,34890.71,1,2,4,一般
12454,5,14,14627.369999999999,4,4,4,高价值
12455,23,11,6312.06,3,2,3,发展
12456,114,8,1943.9,1,1,2,挽留
12457,24,14,19476.37,3,4,4,高价值
12458,10,13,74770.84,4,3,4,高价值
12459,47,13,1678.31,2,3,2,一般
12460,18,13,4922.37,3,3,3,高价值
12461,3,12,5784.370000000001,4,3,3,高价值
12462,108,10,1064.97,1,2,1,挽留
12463,15,11,902.6,3,2,1,发展
12464,15,12,1767.51,3,3,2,发展
12465,9,10,2165.28,4,2,2,发展
12466,17,9,8226.55,3,2,3,发展
12467,15,10,30445.29,3,2,4,发展
12468,13,15,12186.869999999999,3,4,3,高价值
12469,2,12,63047.87,4,3,4,高价值
12470,49,15,2428.71,2,4,2,一般
12471,40,12,14887.470000000001,2,3,4,保持
12472,11,9,1889.3,3,2,2,发展
12473,32,11,63124.0,2,2,4,一般
12474,54,10,1743.15,1,2,2,挽留
12475,38,14,19661.54,2,4,4,保持
12476,8,12,40300.16,4,3,4,高价值
12477,10,11,22525.75,4,2,4,发展
12478,64,12,1262.04,1,3,1,一般
12479,1,18,61716.659999999996,4,4,4,高价值
12480,58,10,2377.05,1,2,2,挽留
12481,36,11,9084.3,2,2,3,一般
12482,66,15,4240.74,1,4,3,保持
12483,25,12,1602.15,2,3,1,一般
12484,14,15,53307.45,3,4,4,高价值
12485,19,10,4184.39,3,2,3,发展
12486,44,8,1799.51,2,1,2,挽留
12487,66,9,3427.35,1,2,2,挽留
12488,21,10,1861.7,3,2,2,发展
12489,15,11,3802.65,3,2,3,发展
12490,20,16,8781.5,3,4,3,高价值
12491,143,5,127.05000000000001,1,1,1,挽留
12492,6,11,5905.2,4,2,3,发展
12493,3,6,714.6600000000001,4,1,1,一般
12494,104,14,20268.260000000002,1,4,4,保持
12495,14,13,6007.43,3,3,3,高价值
12496,1,9,1243.29,4,2,1,发展
12497,44,10,10180.09,2,2,3,一般
12498,54,11,1400.01,1,2,1,挽留
12499,86,9,2163.51,1,2,2,挽留
12500,10,13,2852.88,4,3,2,发展
12501,63,5,756.95,1,1,1,挽留
12502,6,8,1150.64,4,1,1,一般
12503,103,9,2906.8,1,2,2,挽留
12504,17,4,646.8299999999999,3,1,1,一般
12505,89,8,19583.35,1,1,4,一般
12506,4,10,1140.7,4,2,1,发展
12507,123,9,17412.24,1,2,4,一般
12508,2,11,9838.72,4,2,3,发展
12509,15,11,2360.57,3,2,2,发展
12510,31,8,7382.9,2,1,3,一般
12511,12,15,12816.339999999998,3,4,3,高价值
12512,17,10,2256.96,3,2,2,发展
12513,3,14,30887.26,4,4,4,高价值
12514,6,8,4242.1,4,1,3,一般
12515,84,8,1555.2,1,1,1,挽留
12516,100,2,5625.0,1,1,3,一般
12517,50,10,1739.95,1,2,2,挽留
12518,11,8,8729.7,3,1,3,一般
12519,3,12,4370.68,4,3,3,高价值
12520,117,4,1490.2,1,1,1,挽留
12521,7,7,1258.1,4,1,1,一般
12522,8,14,2719.56,4,4,2,发展
12523,13,18,29753.05,3,4,4,高价值
12524,40,9,31515.4,2,2,4,一般
12525,84,8,7849.55,1,1,3,一般
12526,60,14,11497.08,1,4,3,保持
12527,38,5,708.8499999999999,2,1,1,挽留
12528,30,10,40176.92,2,2,4,一般
12529,6,15,8035.12,4,4,3,高价值
12530,80,7,2655.01,1,1,2,挽留
12531,17,13,4062.76,3,3,3,高价值
12532,36,15,5470.8099999999995,2,4,3,保持
12533,25,10,1818.6999999999998,2,2,2,挽留
12534,122,13,41075.1,1,3,4,保持
12535,14,14,3407.85,3,4,2,发展
12536,1,10,2068.69,4,2,2,发展
12537,18,13,1730.05,3,3,2,发展
12538,3,6,1126.2,4,1,1,一般
12539,150,4,708.75,1,1,1,挽留
12540,5,7,2719.65,4,1,2,一般
12541,55,6,5194.81,1,1,3,一般
12542,28,10,2894.3999999999996,2,2,2,挽留
12543,23,13,3986.4700000000003,3,3,3,高价值
12544,33,18,41551.48,2,4,4,保持
12545,92,11,2681.76,1,2,2,挽留
12546,41,10,8702.66,2,2,3,一般
12547,12,6,4356.69,3,1,3,一般
12548,12,11,2890.2000000000003,3,2,2,发展
12549,39,12,1186.3600000000001,2,3,1,一般
12550,3,10,5180.03,4,2,3,发展
12551,47,15,19570.25,2,4,4,保持
12552,30,11,1500.36,2,2,1,挽留
12553,39,7,2055.8,2,1,2,挽留
12554,28,10,23919.06,2,2,4,一般
12555,24,12,1754.63,3,3,2,发展
12556,27,9,1785.8999999999999,2,2,2,挽留
12557,2,11,1605.6,4,2,1,发展
12558,15,12,3167.97,3,3,2,发展
12559,78,6,1374.66,1,1,1,挽留
12560,10,13,1483.19,4,3,1,发展
12561,17,12,2916.77,3,3,2,发展
12562,86,13,14831.7,1,3,4,保持
12563,30,9,10429.59,2,2,3,一般
12564,77,8,1518.6,1,1,1,挽留
12565,108,8,1039.6399999999999,1,1,1,挽留
12566,9,8,1115.02,4,1,1,一般
12567,61,7,547.56,1,1,1,挽留
12568,11,8,1664.8,3,1,2,一般
12569,66,14,62751.45,1,4,4,保持
12570,44,12,1970.91,2,3,2,一般
12571,13,12,3258.87,3,3,2,发展
12572,23,8,773.9,3,1,1,一般
12573,2,10,1787.94,4,2,2,发展
12574,33,8,80389.13,2,1,4,一般
12575,7,6,38858.05,4,1,4,一般
12576,14,9,3224.8,3,2,2,发展
12577,8,10,7554.15,4,2,3,发展
12578,72,10,10168.5,1,2,3,一般
12579,35,7,17902.74,2,1,4,一般
12580,7,11,60807.96,4,2,4,发展
12581,11,11,3299.02,3,2,2,发展
12582,1,10,1882.16,4,2,2,发展
12583,9,12,3899.8,4,3,3,高价值
12584,14,12,38497.38,3,3,4,高价值
12585,9,9,4565.1,4,2,3,发展
12586,46,15,7680.42,2,4,3,保持
12587,8,19,62941.17999999999,4,4,4,高价值
12588,40,16,2411.46,2,4,2,一般
12589,14,12,75500.56,3,3,4,高价值
12590,3,12,40407.7,4,3,4,高价值
12591,17,10,1400.51,3,2,1,发展
12592,93,8,30772.4,1,1,4,一般
12593,10,7,881.45,4,1,1,一般
12594,34,14,52804.5,2,4,4,保持
12595,25,13,36090.9,2,3,4,保持
12596,13,14,2651.15,3,4,2,发展
12597,13,13,6325.45,3,3,3,高价值
12598,5,10,15561.92,4,2,4,发展
12599,16,15,35137.950000000004,3,4,4,高价值
12600,33,6,1581.7400000000002,2,1,1,挽留
12601,9,12,1955.64,4,3,2,发展
12602,59,5,3026.46,1,1,2,挽留
12603,44,13,1752.93,2,3,2,一般
12604,16,12,52707.55,3,3,4,高价值
12605,37,11,2329.25,2,2,2,挽留
12606,101,11,2504.49,1,2,2,挽留
12607,2,14,4334.25,4,4,3,高价值
12608,7,18,32874.31,4,4,4,高价值
12609,106,7,64709.03,1,1,4,一般
12610,20,10,2486.07,3,2,2,发展
12611,13,12,2729.89,3,3,2,发展
12612,44,12,33089.76,2,3,4,保持
12613,8,12,8545.3,4,3,3,高价值
12614,52,8,1017.45,1,1,1,挽留
12615,92,8,1723.71,1,1,2,挽留
12616,3,14,10810.34,4,4,3,高价值
12617,68,8,2140.29,1,1,2,挽留
12618,10,12,2738.93,4,3,2,发展
12619,2,12,5398.96,4,3,3,高价值
12620,10,8,4787.77,4,1,3,一般
12621,11,12,3450.74,3,3,2,发展
12622,19,11,3425.64,3,2,2,发展
12623,7,13,3554.2,4,3,3,高价值
12624,16,5,1076.4,3,1,1,一般
12625,18,11,20258.01,3,2,4,发展
12626,42,8,31102.35,2,1,4,一般
12627,20,12,894.29,3,3,1,发展
12628,15,15,2853.8,3,4,2,发展
12629,13,11,5916.62,3,2,3,发展
12630,14,13,1552.76,3,3,1,发展
12631,11,7,3891.4500000000003,3,1,3,一般
12632,21,11,53329.200000000004,3,2,4,发展
12633,22,12,3232.99,3,3,2,发展
12634,18,9,1626.81,3,2,1,发展
12635,7,12,2894.41,4,3,2,发展
12636,56,10,1115.41,1,2,1,挽留
12637,26,6,19158.04,2,1,4,一般
12638,10,12,51957.56,4,3,4,高价值
12639,13,7,2124.2599999999998,3,1,2,一般
12640,11,13,64010.07,3,3,4,高价值
12641,111,9,1057.37,1,2,1,挽留
12642,30,8,1690.76,2,1,2,挽留
12643,60,18,41330.89,1,4,4,保持
12644,48,4,344.36,2,1,1,挽留
12645,109,6,2545.85,1,1,2,挽留
12646,42,14,18789.25,2,4,4,保持
12647,37,15,17263.57,2,4,4,保持
12648,1,8,643.65,4,1,1,一般
12649,6,12,3770.1099999999997,4,3,3,高价值
12650,12,9,1264.94,3,2,1,发展
12651,6,14,1920.8899999999999,4,4,2,发展
12652,14,11,2220.26,3,2,2,发展
12653,29,14,9049.24,2,4,3,保持
12654,43,9,1337.04,2,2,1,挽留
12655,31,9,11427.4,2,2,3,一般
12656,66,11,108629.03,1,2,4,一般
12657,7,11,13131.08,4,2,3,发展
12658,72,9,2559.45,1,2,2,挽留
12659,5,20,63552.15,4,4,4,高价值
12660,37,11,6078.95,2,2,3,一般
12661,2,15,8854.12,4,4,3,高价值
12662,43,12,18248.97,2,3,4,保持
12663,13,20,28936.75,3,4,4,高价值
12664,16,12,2752.24,3,3,2,发展
12665,33,7,2055.95,2,1,2,挽留
12666,16,12,10442.880000000001,3,3,3,高价值
12667,60,12,1457.34,1,3,1,一般
12668,11,12,30040.71,3,3,4,高价值
12669,14,11,52932.15,3,2,4,发展
12670,102,6,728.9,1,1,1,挽留
12671,11,12,6818.95,3,3,3,高价值
12672,12,12,1502.0,3,3,1,发展
12673,66,6,8361.81,1,1,3,一般
12674,47,12,8384.78,2,3,3,保持
12675,3,16,39791.57,4,4,4,高价值
12676,3,9,1887.64,4,2,2,发展
12677,35,14,4397.32,2,4,3,保持
12678,7,11,11316.26,4,2,3,发展
12679,30,10,5361.95,2,2,3,一般
12680,10,16,4374.74,4,4,3,高价值
12681,41,8,692.22,2,1,1,挽留
12682,30,9,4086.3,2,2,3,一般
12683,29,12,40377.35,2,3,4,保持
12684,21,10,2393.65,3,2,2,发展
12685,32,10,1013.48,2,2,1,挽留
12686,5,10,940.8,4,2,1,发展
12687,8,12,746.33,4,3,1,发展
12688,20,15,2873.19,3,4,2,发展
12689,15,14,11389.26,3,4,3,高价值
12690,9,11,5087.45,4,2,3,发展
12691,2,10,1600.4,4,2,1,发展
12692,9,5,65.77,4,1,1,一般
12693,14,8,942.6,3,1,1,一般
12694,4,12,1330.66,4,3,1,发展
12695,12,18,62279.12,3,4,4,高价值
12696,32,12,21390.57,2,3,4,保持
12697,20,8,1369.9299999999998,3,1,1,一般
12698,139,6,1313.07,1,1,1,挽留
12699,7,16,3994.6,4,4,3,高价值
12700,53,10,1470.4099999999999,1,2,1,挽留
12701,43,11,715.85,2,2,1,挽留
12702,59,8,15211.85,1,1,4,一般
12703,166,6,29842.54,1,1,4,一般
12704,76,3,167.15,1,1,1,挽留
12705,9,17,2427.33,4,4,2,发展
12706,8,9,3417.77,4,2,2,发展
12707,79,11,2971.99,1,2,2,挽留
12708,21,10,2171.6,3,2,2,发展
12709,20,8,2288.9,3,1,2,一般
12710,56,18,35846.14,1,4,4,保持
12711,23,7,37376.34,3,1,4,一般
12712,7,13,2619.0299999999997,4,3,2,发展
12713,26,7,486.7,2,1,1,挽留
12714,59,7,4203.3099999999995,1,1,3,一般
12715,26,9,10089.2,2,2,3,一般
12716,9,11,45172.0,4,2,4,发展
12717,9,12,605.13,4,3,1,发展
12718,14,8,2605.24,3,1,2,一般
12719,51,11,3094.37,1,2,2,挽留
12720,118,6,510.17,1,1,1,挽留
12721,9,12,3917.85,4,3,3,高价值
12722,15,16,59505.96,3,4,4,高价值
12723,7,13,6224.95,4,3,3,高价值
12724,3,12,4515.59,4,3,3,高价值
12725,3,10,895.35,4,2,1,发展
12726,81,9,51053.15,1,2,4,一般
12727,20,6,1061.0,3,1,1,一般
12728,68,10,8538.5,1,2,3,一般
12729,32,13,3136.8,2,3,2,一般
12730,11,11,1577.19,3,2,1,发展
12731,24,9,28555.94,3,2,4,发展
12732,85,4,50053.75,1,1,4,一般
12733,75,7,1022.1899999999999,1,1,1,挽留
12734,13,8,1054.03,3,1,1,一般
12735,48,11,72460.34,2,2,4,一般
12736,37,7,1098.85,2,1,1,挽留
12737,32,11,32403.8,2,2,4,一般
12738,5,13,3749.35,4,3,3,高价值
12739,38,9,1002.12,2,2,1,挽留
12740,33,14,14012.01,2,4,3,保持
12741,84,7,7752.05,1,1,3,一般
12742,29,11,604.4000000000001,2,2,1,挽留
12743,20,7,5781.110000000001,3,1,3,一般
12744,27,7,1950.8000000000002,2,1,2,挽留
12745,21,13,60237.25,3,3,4,高价值
12746,27,9,30561.8,2,2,4,一般
12747,10,11,2740.49,4,2,2,发展
12748,15,13,3210.86,3,3,2,发展
12749,15,14,1543.3400000000001,3,4,1,发展
12750,15,12,5053.76,3,3,3,高价值
12751,106,6,638.31,1,1,1,挽留
12752,67,12,10361.25,1,3,3,保持
12753,85,11,4197.25,1,2,3,一般
12754,27,11,1120.45,2,2,1,挽留
12755,178,11,2118.9,1,2,2,挽留
12756,7,12,1121.71,4,3,1,发展
12757,18,9,20209.34,3,2,4,发展
12758,5,4,628.85,4,1,1,一般
12759,31,5,273.56,2,1,1,挽留
12760,73,9,1149.32,1,2,1,挽留
12761,16,14,7063.06,3,4,3,高价值
12762,7,12,15829.25,4,3,4,高价值
12763,2,15,54149.78,4,4,4,高价值
12764,14,9,1847.13,3,2,2,发展
12765,15,8,731.76,3,1,1,一般
12766,29,16,40852.49,2,4,4,保持
12767,2,12,3955.91,4,3,3,高价值
12768,36,12,22390.350000000002,2,3,4,保持
12769,20,13,3279.74,3,3,2,发展
12770,23,10,1231.62,3,2,1,发展
12771,37,10,4253.16,2,2,3,一般
12772,33,20,2875.11,2,4,2,一般
12773,21,14,9080.7,3,4,3,高价值
12774,135,10,1611.45,1,2,1,挽留
12775,39,17,7320.360000000001,2,4,3,保持
12776,9,13,706.86,4,3,1,发展
12777,36,8,782.08,2,1,1,挽留
12778,60,13,7052.2,1,3,3,保持
12779,54,8,3002.25,1,1,2,挽留
12780,49,16,4359.889999999999,2,4,3,保持
12781,1,11,1713.8,4,2,2,发展
12782,11,10,1171.21,3,2,1,发展
12783,8,14,4064.2,4,4,3,高价值
12784,16,14,51237.99,3,4,4,高价值
12785,29,8,38948.12,2,1,4,一般
12786,10,11,6154.82,4,2,3,发展
12787,118,11,65290.2,1,2,4,一般
12788,37,11,3916.62,2,2,3,一般
12789,23,7,53598.2,3,1,4,一般
12790,25,10,6023.21,2,2,3,一般
12791,67,5,2557.3,1,1,2,挽留
12792,21,10,23993.18,3,2,4,发展
12793,62,7,1533.8,1,1,1,挽留
12794,42,9,3087.17,2,2,2,挽留
12795,43,12,34951.159999999996,2,3,4,保持
12796,33,12,6793.4400000000005,2,3,3,保持
12797,4,11,2424.03,4,2,2,发展
12798,33,10,3499.3100000000004,2,2,3,一般
12799,25,12,2872.0,2,3,2,一般
12800,110,8,1747.52,1,1,2,挽留
12801,5,16,5423.13,4,4,3,高价值
12802,2,15,34934.94,4,4,4,高价值
12803,11,14,23558.45,3,4,4,高价值
12804,135,13,3656.3599999999997,1,3,3,保持
12805,9,13,63138.92,4,3,4,高价值
12806,17,9,561.38,3,2,1,发展
12807,133,9,1529.31,1,2,1,挽留
12808,26,13,4572.55,2,3,3,保持
12809,143,6,595.5,1,1,1,挽留
12810,5,12,15399.2,4,3,4,高价值
12811,27,14,20226.219999999998,2,4,4,保持
12812,25,13,34122.77,2,3,4,保持
12813,5,8,1367.44,4,1,1,一般
12814,19,12,21434.9,3,3,4,高价值
12815,14,11,40999.6,3,2,4,发展
12816,68,10,38355.56,1,2,4,一般
12817,25,13,51616.920000000006,2,3,4,保持
12818,23,16,3944.43,3,4,3,高价值
12819,19,8,2714.79,3,1,2,一般
12820,27,11,18489.899999999998,2,2,4,一般
12821,83,9,2214.1,1,2,2,挽留
12822,10,6,149.45,4,1,1,一般
12823,15,9,1801.48,3,2,2,发展
12824,38,13,2435.88,2,3,2,一般
12825,41,7,5323.79,2,1,3,一般
12826,5,17,6829.37,4,4,3,高价值
12827,53,10,39227.3,1,2,4,一般
12828,21,15,11876.71,3,4,3,高价值
12829,123,10,1459.96,1,2,1,挽留
12830,17,11,1918.11,3,2,2,发展
12831,12,6,1065.74,3,1,1,一般
12832,40,12,2141.84,2,3,2,一般
12833,37,11,73799.27,2,2,4,一般
12834,5,12,4075.49,4,3,3,高价值
12835,26,11,4943.79,2,2,3,一般
12836,38,5,814.66,2,1,1,挽留
12837,11,11,1988.65,3,2,2,发展
12838,7,9,1549.97,4,2,1,发展
12839,7,13,2364.21,4,3,2,发展
12840,42,9,6023.79,2,2,3,一般
12841,22,15,3752.79,3,4,3,高价值
12842,6,10,51190.450000000004,4,2,4,发展
12843,46,13,3400.0,2,3,2,一般
12844,11,12,2806.5,3,3,2,发展
12845,24,10,2557.45,3,2,2,发展
12846,43,16,12939.98,2,4,3,保持
12847,20,10,750.11,3,2,1,发展
12848,6,18,32792.7,4,4,4,高价值
12849,152,4,1079.5500000000002,1,1,1,挽留
12850,126,7,5215.52,1,1,3,一般
12851,7,7,2091.15,4,1,2,一般
12852,4,8,9456.74,4,1,3,一般
12853,80,14,5521.45,1,4,3,保持
12854,11,6,2042.86,3,1,2,一般
12855,25,12,40656.14,2,3,4,保持
12856,3,14,2088.77,4,4,2,发展
12857,42,10,39452.84,2,2,4,一般
12858,34,9,1077.46,2,2,1,挽留
12859,58,9,4105.8099999999995,1,2,3,一般
12860,26,12,40482.45,2,3,4,保持
12861,6,13,3772.6000000000004,4,3,3,高价值
12862,51,11,32410.38,1,2,4,一般
12863,18,10,39219.41,3,2,4,发展
12864,11,12,2388.1,3,3,2,发展
12865,58,11,13682.24,1,2,3,一般
12866,11,13,2066.39,3,3,2,发展
12867,3,9,3307.25,4,2,2,发展
12868,32,9,1332.86,2,2,1,挽留
12869,27,11,16199.99,2,2,4,一般
12870,2,12,9882.32,4,3,3,高价值
12871,47,7,4759.47,2,1,3,一般
12872,61,8,380.09999999999997,1,1,1,挽留
12873,62,18,90996.8,1,4,4,保持
12874,13,8,683.89,3,1,1,一般
12875,36,15,5909.18,2,4,3,保持
12876,40,13,16488.04,2,3,4,保持
12877,105,5,1101.15,1,1,1,挽留
12878,52,8,1491.76,1,1,1,挽留
12879,13,15,10274.01,3,4,3,高价值
12880,64,10,770.08,1,2,1,挽留
12881,12,16,2457.73,3,4,2,发展
12882,70,13,20303.65,1,3,4,保持
12883,14,11,68887.86,3,2,4,发展
12884,100,10,60108.56,1,2,4,一般
12885,10,4,615.8599999999999,4,1,1,一般
12886,29,12,18608.17,2,3,4,保持
12887,34,22,10576.55,2,4,3,保持
12888,27,5,349.4,2,1,1,挽留
12889,6,5,844.76,4,1,1,一般
12890,7,12,45718.07,4,3,4,高价值
12891,7,12,2418.54,4,3,2,发展
12892,24,11,1548.1699999999998,3,2,1,发展
12893,10,13,2525.17,4,3,2,发展
12894,15,20,18920.1,3,4,4,高价值
12895,13,8,862.36,3,1,1,一般
12896,63,13,7467.26,1,3,3,保持
12897,9,13,4315.0,4,3,3,高价值
12898,119,12,4587.47,1,3,3,保持
12899,20,13,15468.35,3,3,4,高价值
12900,8,12,77664.92,4,3,4,高价值
12901,31,7,1322.07,2,1,1,挽留
12902,4,3,858.75,4,1,1,一般
12903,21,12,4443.91,3,3,3,高价值
12904,115,10,31489.91,1,2,4,一般
12905,14,5,1291.65,3,1,1,一般
12906,74,8,5220.79,1,1,3,一般
12907,56,16,15707.29,1,4,4,保持
12908,21,10,3101.4900000000002,3,2,2,发展
12909,15,12,825.45,3,3,1,发展
12910,10,9,60679.9,4,2,4,发展
12911,77,10,1770.5,1,2,2,挽留
12912,31,14,11912.11,2,4,3,保持
12913,54,7,17326.01,1,1,4,一般
12914,71,12,2315.55,1,3,2,一般
12915,72,15,10198.890000000001,1,4,3,保持
12916,13,12,2173.7,3,3,2,发展
12917,16,10,2119.37,3,2,2,发展
12918,5,10,41726.38,4,2,4,发展
12919,20,11,1329.54,3,2,1,发展
12920,89,9,30273.41,1,2,4,一般
12921,5,12,52286.95,4,3,4,高价值
12922,32,7,712.2,2,1,1,挽留
12923,16,17,20406.77,3,4,4,高价值
12924,3,7,1265.68,4,1,1,一般
12925,45,8,2922.6,2,1,2,挽留
12926,10,11,16663.9,4,2,4,发展
12927,24,8,3072.8399999999997,3,1,2,一般
12928,11,15,91316.1,3,4,4,高价值
12929,1,11,2260.02,4,2,2,发展
12930,8,7,681.89,4,1,1,一般
12931,21,17,4713.89,3,4,3,高价值
12932,37,11,3302.3,2,2,2,挽留
12933,12,13,5560.89,3,3,3,高价值
12934,26,14,7606.65,2,4,3,保持
12935,40,7,20472.5,2,1,4,一般
12936,2,12,8834.2,4,3,3,高价值
12937,11,9,40631.25,3,2,4,发展
12938,7,15,10016.34,4,4,3,高价值
12939,25,6,764.55,2,1,1,挽留
12940,54,15,3159.63,1,4,2,一般
12941,15,17,3463.79,3,4,2,发展
12942,79,12,52378.03999999999,1,3,4,保持
12943,10,11,8211.61,4,2,3,发展
12944,54,14,1288.5,1,4,1,一般
12945,71,11,5765.25,1,2,3,一般
12946,24,19,6056.360000000001,3,4,3,高价值
12947,54,12,1896.35,1,3,2,一般
12948,6,6,29992.36,4,1,4,一般
12949,2,22,48555.53,4,4,4,高价值
12950,67,8,12839.94,1,1,3,一般
12951,20,12,1856.41,3,3,2,发展
12952,1,13,1822.97,4,3,2,发展
12953,15,19,41430.729999999996,3,4,4,高价值
12954,51,7,4415.1,1,1,3,一般
12955,38,10,21037.96,2,2,4,一般
12956,65,12,950.85,1,3,1,一般
12957,60,4,605.8,1,1,1,挽留
12958,36,10,15637.6,2,2,4,一般
12959,36,7,3533.2299999999996,2,1,3,一般
12960,11,11,2084.2599999999998,3,2,2,发展
12961,26,14,3207.27,2,4,2,一般
12962,13,11,2279.33,3,2,2,发展
12963,4,9,3708.13,4,2,3,发展
12964,22,7,2041.03,3,1,2,一般
12965,34,9,18677.31,2,2,4,一般
12966,112,5,1337.0,1,1,1,挽留
12967,64,14,6744.55,1,4,3,保持
12968,147,6,10602.509999999998,1,1,3,一般
12969,15,17,8859.9,3,4,3,高价值
12970,2,10,2213.14,4,2,2,发展
12971,30,8,1601.1599999999999,2,1,1,挽留
12972,14,8,6725.900000000001,3,1,3,一般
12973,6,15,1563.7,4,4,1,发展
12974,2,11,1172.97,4,2,1,发展
12975,11,29,100564.74,3,4,4,高价值
